add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 255, 255, EH, 392, 255, 255, LH, 255, 255, EH, 390, 251, 251, LH, 251, 251, LH
1, 127, 127, EH, 13, 127, 127, RH, 127, 127, EH, 270, 126, 126, EH, 126, 126, EH
2, 63, 319, RH, 82, 60, 315, EH, 60, 315, RH, 387, 60, 315, EH, 60, 315, EH
3, 31, 63, EH, 97, 29, 60, EH, 29, 60, EH, 266, 26, 60, RH, 26, 60, EH
4, 15, 191, EH, 360, 15, 186, LH, 15, 186, EH, 151, 14, 186, LH, 14, 186, EH
5, 7, 287, EH, 96, 9, 287, LH, 9, 287, EH, 5, 6, 284, EH, 6, 284, EH
6, 3, 351, RH, 79, 6, 350, RH, 6, 350, RH, 15, 4, 366, EH, 3, 357, EH
7, 1, 31, EH, 320, 8, 29, EH, 3, 29, EH, 213, 3, 26, LH, 1, 26, EH
8, 0, 95, EH, 190, 11, 95, EH, 1, 95, EH, 391, 11, 94, RH, 0, 94, EH
9, 2, 159, EH, 380, 25, 155, LH, 0, 155, RH, 9, 20, 150, RH, 2, 150, EH
10, 5, 223, EH, 10, 22, 218, EH, 2, 218, EH, 163, 19, 210, EH, 4, 223, EH
11, 4, 271, EH, 158, 24, 269, EH, 4, 269, RH, 180, 22, 269, RH, 5, 269, EH
12, 6, 303, EH, 12, 26, 295, EH, 5, 295, RH, 230, 42, 302, LH, 11, 302, EH
13, 11, 335, EH, 123, 28, 335, EH, 8, 335, EH, 143, 37, 350, LH, 9, 335, EH
14, 9, 383, EH, 14, 47, 375, EH, 7, 366, RH, 43, 30, 379, RH, 7, 379, EH
15, 8, 15, EH, 306, 35, 15, EH, 11, 15, LH, 352, 51, 14, LH, 8, 14, LH
16, 10, 47, EH, 16, 33, 47, EH, 10, 47, LH, 16, 94, 42, LH, 10, 42, EH
17, 13, 79, EH, 17, 39, 76, LH, 13, 76, EH, 17, 81, 81, LH, 13, 81, LH
18, 12, 111, EH, 297, 37, 111, EH, 12, 111, EH, 156, 76, 110, LH, 12, 110, EH
19, 14, 143, EH, 19, 41, 143, LH, 14, 143, EH, 196, 65, 134, RH, 19, 141, LH
20, 23, 175, EH, 374, 53, 167, EH, 22, 167, RH, 181, 69, 175, LH, 16, 166, EH
21, 19, 207, EH, 238, 50, 201, RH, 19, 201, EH, 128, 79, 200, EH, 15, 210, EH
22, 17, 239, EH, 237, 49, 243, EH, 17, 235, EH, 286, 92, 234, EH, 17, 234, RH
23, 16, 263, EH, 288, 54, 259, RH, 16, 263, EH, 23, 87, 259, EH, 18, 259, RH
24, 18, 279, EH, 394, 58, 279, EH, 18, 279, EH, 64, 110, 279, LH, 22, 275, RH
25, 21, 295, EH, 121, 95, 290, RH, 20, 290, RH, 313, 101, 295, LH, 20, 291, RH
26, 20, 311, EH, 398, 76, 302, EH, 21, 302, RH, 218, 97, 310, EH, 21, 310, LH
27, 22, 327, EH, 147, 70, 326, EH, 25, 323, EH, 167, 96, 330, EH, 24, 327, EH
28, 27, 343, EH, 271, 69, 341, EH, 24, 341, RH, 35, 99, 357, EH, 23, 344, EH
29, 25, 367, EH, 134, 65, 366, EH, 23, 359, LH, 205, 98, 372, EH, 25, 366, EH
30, 24, 391, RH, 191, 74, 379, RH, 27, 379, RH, 137, 106, 388, EH, 42, 388, EH
31, 26, 7, EH, 183, 73, 9, LH, 26, 9, LH, 41, 104, 6, LH, 34, 6, RH
32, 29, 23, EH, 32, 86, 25, EH, 28, 22, EH, 24, 103, 20, EH, 31, 19, EH
33, 28, 39, EH, 357, 85, 35, RH, 47, 39, LH, 67, 109, 37, LH, 28, 34, EH
34, 30, 55, EH, 159, 94, 53, EH, 39, 53, EH, 34, 107, 51, EH, 27, 48, RH
35, 47, 71, EH, 212, 111, 70, EH, 35, 68, EH, 174, 120, 76, LH, 30, 69, EH
36, 39, 87, EH, 57, 102, 86, EH, 32, 86, EH, 36, 113, 92, LH, 29, 86, EH
37, 35, 103, EH, 308, 99, 102, EH, 30, 102, RH, 153, 118, 101, EH, 32, 101, RH
38, 33, 119, EH, 352, 100, 116, EH, 31, 116, RH, 90, 122, 120, EH, 33, 117, RH
39, 32, 135, EH, 319, 106, 139, LH, 33, 135, EH, 342, 121, 131, EH, 37, 134, LH
40, 34, 151, EH, 64, 105, 151, EH, 34, 148, EH, 40, 124, 141, EH, 35, 146, LH
41, 37, 167, EH, 246, 107, 163, LH, 37, 160, EH, 31, 186, 166, RH, 36, 156, RH
42, 36, 183, EH, 56, 116, 175, EH, 36, 175, RH, 216, 150, 178, EH, 40, 175, EH
43, 38, 199, EH, 43, 115, 199, EH, 38, 192, RH, 77, 134, 193, LH, 38, 200, EH
44, 43, 215, EH, 44, 114, 207, LH, 43, 212, LH, 44, 131, 206, EH, 39, 218, LH
45, 41, 231, EH, 45, 122, 235, RH, 41, 229, LH, 68, 130, 225, LH, 41, 230, LH
46, 40, 247, EH, 126, 120, 245, RH, 40, 243, EH, 147, 132, 247, EH, 48, 245, LH
47, 42, 259, EH, 303, 186, 257, RH, 42, 259, EH, 47, 141, 257, EH, 44, 255, EH
48, 45, 267, EH, 90, 155, 261, RH, 45, 266, EH, 48, 139, 263, LH, 43, 263, RH
49, 44, 275, EH, 256, 143, 275, EH, 44, 275, LH, 183, 136, 273, LH, 46, 273, LH
50, 46, 283, EH, 38, 139, 282, LH, 46, 282, RH, 325, 146, 280, RH, 45, 279, RH
51, 55, 291, EH, 219, 135, 289, EH, 53, 289, LH, 323, 144, 291, EH, 47, 287, EH
52, 51, 299, EH, 358, 133, 293, EH, 49, 293, LH, 52, 175, 297, RH, 56, 295, RH
53, 49, 307, EH, 211, 136, 298, EH, 48, 298, EH, 274, 166, 307, EH, 52, 307, LH
54, 48, 315, EH, 268, 138, 309, EH, 51, 310, EH, 262, 164, 312, RH, 50, 313, LH
55, 50, 323, EH, 266, 140, 324, EH, 50, 320, LH, 365, 161, 321, EH, 49, 321, EH
56, 53, 331, EH, 149, 142, 329, EH, 52, 330, EH, 56, 165, 335, EH, 51, 332, LH
57, 52, 339, EH, 109, 151, 338, LH, 57, 338, EH, 91, 171, 354, LH, 54, 340, LH
58, 54, 347, EH, 291, 148, 347, LH, 55, 346, LH, 58, 169, 359, EH, 53, 350, EH
59, 59, 359, EH, 165, 145, 359, EH, 54, 356, LH, 18, 168, 368, RH, 55, 360, RH
60, 57, 375, EH, 181, 150, 369, RH, 56, 363, EH, 57, 170, 375, EH, 58, 372, EH
61, 56, 387, EH, 152, 154, 378, LH, 58, 372, EH, 220, 172, 384, EH, 57, 384, LH
62, 58, 395, RH, 141, 153, 388, RH, 59, 388, EH, 21, 178, 396, LH, 59, 394, EH
63, 61, 3, EH, 5, 167, 6, RH, 95, 6, LH, 63, 177, 4, LH, 94, 3, EH
64, 60, 11, EH, 40, 163, 11, EH, 76, 11, RH, 324, 176, 11, EH, 81, 11, LH
65, 62, 19, EH, 20, 161, 22, RH, 68, 19, EH, 157, 185, 19, EH, 69, 16, RH
66, 95, 27, EH, 66, 160, 26, RH, 65, 25, EH, 86, 184, 22, EH, 65, 22, EH
67, 79, 35, EH, 228, 166, 33, EH, 63, 35, LH, 281, 210, 30, EH, 63, 31, LH
68, 71, 43, EH, 273, 175, 39, EH, 62, 43, EH, 248, 200, 65, EMPTY, 62, 37, RH
69, 67, 51, EH, 386, 170, 50, LH, 61, 49, RH, 89, 193, 79, RH, 61, 44, RH
70, 65, 59, EH, 354, 169, 54, RH, 64, 57, EH, 243, 191, 87, EH, 64, 56, LH
71, 64, 67, EH, 168, 176, 69, LH, 66, 65, LH, 117, 190, 97, EH, 67, 65, LH
72, 66, 75, EH, 284, 179, 74, LH, 67, 73, LH, 72, 198, 106, EMPTY, 66, 76, EH
73, 69, 83, EH, 223, 218, 85, EH, 73, 80, RH, 73, 206, 113, RH, 68, 84, LH
74, 68, 91, EH, 7, 201, 94, EH, 70, 90, RH, 363, 203, 122, EH, 76, 90, EH
75, 70, 99, EH, 75, 199, 99, RH, 69, 99, EH, 53, 204, 130, RH, 73, 97, EH
76, 75, 107, EH, 185, 196, 106, EH, 71, 106, RH, 362, 209, 132, EH, 71, 106, LH
77, 73, 115, EH, 77, 200, 115, LH, 72, 114, LH, 84, 207, 139, EH, 70, 113, EH
78, 72, 123, EH, 202, 207, 122, LH, 74, 122, EH, 32, 234, 146, EH, 72, 120, RH
79, 74, 131, EH, 59, 204, 135, RH, 75, 131, EH, 232, 225, 164, LH, 75, 131, LH
80, 77, 139, EH, 80, 206, 140, RH, 86, 139, EH, 62, 223, 171, LH, 74, 137, EH
81, 76, 147, EH, 310, 214, 148, EH, 80, 146, LH, 275, 224, 177, EH, 79, 144, LH
82, 78, 155, EH, 322, 243, 154, LH, 78, 151, EH, 114, 229, 185, LH, 77, 148, EH
83, 87, 163, EH, 355, 235, 161, LH, 77, 158, LH, 83, 247, 191, LH, 78, 153, EH
84, 83, 171, EH, 299, 225, 166, EH, 79, 163, EH, 75, 242, 198, LH, 80, 161, EH
85, 81, 179, EH, 112, 241, 170, LH, 82, 171, EH, 85, 241, 203, LH, 86, 169, RH
86, 80, 187, EH, 216, 240, 176, RH, 81, 183, LH, 255, 245, 209, EH, 84, 181, EH
87, 82, 195, EH, 363, 242, 196, EH, 84, 190, LH, 13, 250, 223, RH, 83, 193, EH
88, 85, 203, EH, 88, 245, 200, EH, 83, 196, RH, 88, 249, 229, LH, 82, 206, LH
89, 84, 211, EH, 118, 244, 204, RH, 85, 206, EH, 318, 315, 242, RH, 85, 213, RH
90, 86, 219, EH, 48, 250, 214, EH, 90, 215, EH, 303, 284, 250, EH, 90, 220, RH
91, 91, 227, EH, 215, 248, 225, EH, 88, 225, LH, 239, 269, 256, EH, 88, 227, EH
92, 89, 235, EH, 92, 252, 241, EH, 87, 233, LH, 311, 259, 258, LH, 87, 232, EH
93, 88, 243, EH, 55, 315, 244, EH, 89, 240, LH, 398, 257, 260, EH, 89, 239, EH
94, 90, 251, EH, 316, 287, 250, EH, 92, 248, EH, 192, 256, 272, EH, 92, 247, RH
95, 93, 257, EH, 339, 269, 258, EMPTY, 91, 257, EH, 246, 258, 277, EH, 91, 253, EH
96, 92, 261, EH, 343, 259, 260, EH, 94, 261, EH, 112, 263, 283, EMPTY, 93, 257, EH
97, 94, 265, EH, 42, 257, 263, EH, 93, 265, LH, 46, 260, 290, LH, 110, 261, EH
98, 111, 269, EH, 371, 258, 272, LH, 111, 268, LH, 154, 279, 293, EH, 101, 267, LH
99, 103, 273, EH, 81, 261, 277, RH, 102, 272, EH, 347, 273, 299, EMPTY, 97, 271, EH
100, 99, 277, EH, 217, 260, 281, EH, 99, 277, EH, 100, 272, 304, EH, 96, 274, EH
101, 97, 281, EH, 101, 263, 286, LH, 97, 281, LH, 102, 271, 308, LH, 95, 277, EH
102, 96, 285, EH, 23, 262, 292, EH, 96, 284, RH, 219, 277, 314, RH, 99, 281, RH
