item,ascending,descending,dfs,bfs,nlr,lrn,lnr,bfactor
-484, -484, 500, 139, 139, 139, -484, -484, RH
492, -88, 492, -88, -88, -88, -16, -88, EH
139, -16, 372, -484, 297, -484, -88, -16, EH
297, 139, 297, -16, -484, -16, 288, 139, EH
500, 282, 288, 297, -16, 297, 282, 282, EH
-88, 288, 282, 282, 282, 282, 372, 288, RH
282, 297, 139, 288, 492, 288, 500, 297, EH
372, 372, -16, 492, 288, 492, 492, 372, EMPTY
288, 492, -88, 372, 372, 372, 297, 492, EH
-16, 500, -484, 500, 500, 500, 139, 500, EH
None, None, None, None, None, None, None, None, EH
