add,dfs0,bfs0,bfactor0,remove-then-add0,dfs1,bfs1,bfactor1,dfs2,bfs2,bfactor2,remove-then-add1,dfs3,bfs3,bfactor3,dfs4,bfs4,bfactor4
0, 511, 511, EH, 744, 509, 509, EH, 509, 509, EH, 55, 507, 507, EH, 507, 507, LH
1, 255, 255, EH, 647, 255, 255, LH, 255, 255, EH, 809, 255, 255, EH, 255, 255, LH
2, 127, 767, EH, 529, 127, 767, LH, 127, 702, EH, 2, 127, 701, EH, 127, 701, EH
3, 63, 127, EH, 46, 63, 127, EH, 63, 127, EH, 73, 56, 127, RH, 56, 127, LH
4, 31, 383, EH, 522, 27, 383, EH, 27, 383, EH, 153, 27, 383, LH, 27, 383, EH
5, 15, 639, EH, 389, 15, 637, EH, 15, 637, LH, 5, 15, 575, RH, 9, 575, RH
6, 7, 831, RH, 185, 13, 829, EH, 8, 767, RH, 94, 4, 829, LH, 4, 829, LH
7, 3, 63, EH, 480, 1, 63, RH, 3, 63, EH, 509, 3, 56, EH, 2, 56, RH
8, 1, 191, EH, 8, 12, 191, RH, 1, 191, EH, 346, 12, 190, RH, 0, 190, EH
9, 0, 319, EH, 645, 14, 316, EH, 0, 316, EH, 14, 9, 314, RH, 1, 314, EH
10, 2, 447, EH, 398, 22, 444, EH, 2, 444, EH, 811, 13, 431, EH, 3, 431, EH
11, 5, 575, EH, 714, 18, 575, EH, 6, 575, EH, 11, 22, 551, LH, 6, 536, EH
12, 4, 703, EH, 128, 16, 702, EH, 5, 670, EH, 619, 19, 637, EH, 5, 637, EH
13, 6, 799, EH, 216, 21, 796, RH, 4, 735, EH, 845, 21, 766, LH, 7, 766, EH
14, 11, 863, RH, 819, 26, 863, EH, 7, 829, EH, 166, 25, 862, EH, 8, 862, EH
15, 9, 31, EH, 699, 47, 27, EH, 12, 27, EH, 518, 24, 27, EH, 15, 27, EH
16, 8, 95, EH, 275, 40, 94, RH, 10, 94, EH, 663, 26, 100, EH, 12, 83, RH
17, 10, 159, EH, 415, 35, 149, EH, 9, 167, EH, 299, 47, 165, EH, 11, 165, EH
18, 13, 223, EH, 785, 45, 223, RH, 11, 223, EH, 830, 34, 222, RH, 10, 222, EH
19, 12, 287, EH, 58, 44, 287, EH, 13, 287, EH, 441, 32, 276, EH, 13, 276, RH
20, 14, 351, EH, 895, 53, 345, EH, 14, 345, EH, 468, 28, 345, RH, 14, 345, EH
21, 23, 415, EH, 311, 49, 414, LH, 22, 414, EH, 870, 41, 412, LH, 22, 412, LH
22, 19, 479, EH, 856, 59, 472, EH, 18, 472, EH, 685, 40, 440, RH, 19, 471, EH
23, 17, 543, EH, 632, 56, 543, RH, 16, 536, EH, 896, 42, 536, LH, 17, 524, LH
24, 16, 607, EH, 187, 94, 605, EH, 17, 605, EH, 306, 53, 563, EH, 16, 551, RH
25, 18, 671, EH, 25, 68, 670, LH, 20, 655, LH, 817, 51, 595, RH, 18, 609, EH
26, 21, 735, EH, 359, 66, 735, RH, 19, 683, RH, 855, 54, 670, EH, 21, 670, EH
27, 20, 783, EH, 446, 64, 782, EH, 21, 719, EH, 290, 100, 735, EH, 20, 735, EH
28, 22, 815, EH, 87, 67, 815, LH, 25, 751, EH, 885, 70, 795, EH, 25, 795, EH
29, 27, 847, EH, 240, 79, 844, EH, 23, 796, EH, 29, 66, 843, LH, 24, 843, RH
30, 25, 879, RH, 30, 76, 879, EH, 24, 863, EH, 461, 69, 890, LH, 23, 879, EH
31, 24, 15, EH, 786, 77, 15, EH, 26, 15, LH, 642, 93, 15, EH, 26, 9, RH
32, 26, 47, EH, 231, 84, 47, EH, 47, 47, EH, 594, 87, 47, LH, 39, 39, RH
33, 29, 79, EH, 386, 82, 68, RH, 35, 79, EH, 174, 83, 70, RH, 34, 70, RH
34, 28, 111, EH, 150, 89, 111, EH, 30, 111, EH, 515, 96, 109, LH, 31, 109, LH
35, 30, 143, EH, 758, 111, 143, LH, 29, 149, EH, 746, 109, 147, EH, 29, 147, EH
36, 47, 175, EH, 36, 101, 159, EH, 28, 182, LH, 36, 105, 173, RH, 28, 173, RH
37, 39, 207, EH, 853, 97, 206, EH, 33, 206, EH, 477, 104, 206, RH, 30, 206, EH
38, 35, 239, EH, 38, 96, 239, LH, 31, 239, EH, 90, 102, 239, LH, 32, 239, EH
39, 33, 271, EH, 39, 99, 271, EH, 32, 271, RH, 865, 108, 263, RH, 33, 263, RH
40, 32, 303, EH, 555, 107, 300, EH, 34, 300, RH, 645, 122, 304, RH, 37, 293, EH
41, 34, 335, EH, 74, 106, 335, LH, 40, 327, RH, 472, 115, 327, EH, 36, 327, EH
42, 37, 367, EH, 669, 109, 366, EH, 38, 366, EH, 590, 126, 364, RH, 35, 364, EH
43, 36, 399, EH, 137, 110, 403, LH, 36, 397, EH, 43, 190, 396, EH, 38, 396, RH
44, 38, 431, EH, 664, 119, 437, EH, 37, 424, RH, 205, 165, 424, EH, 47, 424, LH
45, 43, 463, EH, 364, 117, 463, EH, 39, 459, LH, 523, 147, 434, RH, 43, 449, EH
46, 41, 495, EH, 505, 115, 494, LH, 43, 494, EH, 46, 138, 471, EH, 41, 487, EH
47, 40, 527, EH, 424, 116, 524, RH, 42, 524, LH, 856, 128, 524, EH, 40, 514, RH
48, 42, 559, EH, 584, 118, 554, RH, 41, 554, EH, 552, 136, 543, EH, 42, 530, EH
49, 45, 591, EH, 822, 120, 591, EH, 45, 591, LH, 291, 140, 561, LH, 45, 543, EH
50, 44, 623, EH, 33, 124, 623, LH, 44, 619, EH, 103, 139, 567, EH, 44, 563, EH
51, 46, 655, EH, 818, 191, 655, LH, 46, 646, EH, 254, 155, 585, LH, 46, 595, EH
52, 55, 687, EH, 648, 149, 683, EH, 56, 663, EH, 52, 150, 618, RH, 53, 618, RH
53, 51, 719, EH, 779, 143, 719, EH, 51, 676, EH, 78, 158, 655, EH, 51, 655, EH
54, 49, 751, EH, 686, 135, 751, RH, 49, 694, EH, 149, 156, 678, RH, 49, 687, EH
55, 48, 775, EH, 639, 132, 777, EH, 48, 711, LH, 541, 162, 719, EH, 48, 719, EH
56, 50, 791, EH, 759, 131, 792, LH, 50, 728, LH, 124, 173, 751, LH, 50, 745, RH
57, 53, 807, EH, 57, 138, 807, RH, 53, 741, RH, 714, 171, 782, EH, 52, 782, LH
58, 52, 823, EH, 19, 142, 823, EH, 52, 756, RH, 491, 168, 808, EH, 54, 811, EH
59, 54, 839, EH, 201, 147, 839, EH, 54, 782, LH, 560, 172, 834, RH, 55, 836, EH
60, 59, 855, EH, 60, 148, 855, EH, 55, 815, LH, 60, 182, 853, EH, 83, 853, EH
61, 57, 871, EH, 748, 159, 871, EH, 60, 844, EH, 235, 179, 879, EH, 70, 873, LH
62, 56, 887, RH, 667, 155, 892, LH, 58, 879, EH, 682, 181, 894, EH, 62, 890, EH
63, 58, 7, EH, 432, 153, 13, LH, 57, 8, LH, 58, 185, 4, RH, 59, 4, EH
64, 61, 23, EH, 315, 154, 22, LH, 59, 22, EH, 392, 222, 22, EH, 58, 15, RH
65, 60, 39, EH, 268, 156, 40, RH, 61, 35, EH, 462, 206, 34, EH, 57, 34, EH
66, 62, 55, EH, 644, 158, 53, RH, 62, 56, LH, 761, 195, 53, EH, 60, 47, RH
67, 95, 71, EH, 177, 175, 66, EH, 94, 68, RH, 67, 194, 66, RH, 61, 62, EH
68, 79, 87, EH, 712, 166, 79, EH, 79, 87, LH, 68, 196, 93, LH, 66, 78, LH
69, 71, 103, EH, 267, 172, 101, RH, 68, 101, RH, 351, 213, 105, LH, 64, 100, LH
70, 67, 119, EH, 566, 182, 119, LH, 66, 119, RH, 344, 210, 122, EH, 63, 118, EH
71, 65, 135, EH, 276, 181, 135, EH, 64, 138, EH, 71, 211, 138, EH, 65, 138, EH
72, 64, 151, EH, 596, 223, 147, RH, 65, 155, RH, 819, 217, 155, RH, 68, 155, EH
73, 66, 167, EH, 552, 206, 155, EH, 67, 175, LH, 528, 239, 171, EH, 67, 168, RH
74, 69, 183, EH, 372, 203, 175, EH, 76, 185, RH, 118, 229, 182, LH, 69, 182, EH
